name,country,continent,unesco_id,inception_year,inscription_year,heritage_criteria,official_website,wikidata_item,lon,lat
Landmarks of the Ancient Kingdom of Saba,Yemen,Asia,1700,,2023,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q116943542,45.335227777,15.426769444
Landscape of the Pico Island Vineyard Culture,Portugal,Europe,1117rev,,2004,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q2448665,-28.54111111,38.51333333
Landscapes of Dauria,Mongolia,Asia,1448,,2017,http://www.wikidata.org/entity/Q23038985;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q64787456,115.42544,49.93022
Laurisilva of Madeira,Portugal,Europe,934,,1999,http://www.wikidata.org/entity/Q23038985;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q11257230,-17.0,32.76666667
Leal Senado Building,People's Republic of China,Asia,1110,,,,,http://www.wikidata.org/entity/Q3181816,113.53944444,22.19333333
Lednice-Valtice Cultural Landscape,Czech Republic,Europe,763,,1996,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q735278,16.775,48.7758
Lena Pillars,Russia,Europe,1299bis,,2012,http://www.wikidata.org/entity/Q23038983,,http://www.wikidata.org/entity/Q277683,127.361666666,61.106944444
Lençóis Maranhenses National Park,Brazil,South America,1611,,2024,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983;http://www.wikidata.org/entity/Q23038986,http://parquelencois.com.br/,http://www.wikidata.org/entity/Q647777,-43.128333333,-2.485833333
Liberty Island,United States,North America,307,,1984,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q319821,-74.045,40.69
"Lichfield Crater, Thelus",France,Europe,,,2023,,,http://www.wikidata.org/entity/Q4681068,2.77658,50.359713
Limes Dacicus,Romania,Europe,1718,,2024,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q14752597,23.159411,47.180789
Limeskastell Pohl,Germany,Europe,,,2005,,https://www.limeskastell-pohl.de/,http://www.wikidata.org/entity/Q1681300,7.865916666,50.251944444
Loos Memorial,France,Europe,,,2023,,,http://www.wikidata.org/entity/Q2478266,2.77177,50.460853
Lord Howe Island Group,Australia,Oceania,186,,1982,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q1869866,159.079723,-31.556175
Los Trepadores rock shelter,Spain,Europe,,,,,,http://www.wikidata.org/entity/Q131752552,-0.682777777,41.016944444
Macau Protestant Chapel,People's Republic of China,Asia,1110,,,,https://www.MorrisonChapel.com,http://www.wikidata.org/entity/Q46074,113.53991,22.19975
Maidam,India,Asia,1711,,2024,http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q6735332,94.8792,26.9431
Major Town Houses of the Architect Victor Horta,Belgium,Europe,1005,,2000,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q1426014,4.35,50.81666667
Malbork Castle,Poland,Europe,847,,1997,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,https://zamek.malbork.pl/en,http://www.wikidata.org/entity/Q71279,19.027777777,54.039722222
Maloti-Drakensberg Park,Lesotho,Africa,985bis,,2000,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q6744547,29.3939,-29.4665
Mantua and Sabbioneta,Italy,Europe,1287,,2008,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q15623665,10.79444444,45.15944444
Marceau-Denkmal,Germany,Europe,,,2002,,,http://www.wikidata.org/entity/Q1614027,7.592,50.3737
Masada,Israel,Asia,1040,,2001,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q186312,35.353888888,31.315555555
Maymand,Iran,Asia,1423rev,,2015,http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q1013465,55.375555555,30.168055555
Mazagan,Morocco,Africa,1058rev,,2004,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q555360,-8.502475,33.25656111
Medieval City of Rhodes,Greece,Europe,493,,1988,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q876685,28.226937,36.443058
Meijapão,Portugal,Europe,866-006,,1998,,,http://www.wikidata.org/entity/Q64686793,-7.099352,41.052198
